Boy_Name,Girl_Name,Boy_Age,Girl_Age,Boy_FavColor,Girl_FavColor,Boy_Hobby,Girl_Hobby,Boy_FavMovieGenre,Girl_FavMovieGenre,Boy_Zodiac,Girl_Zodiac,Compatibility_Score
Robert,Jessica,31,39,Purple,Pink,Reading,Drawing,Thriller,Action,Taurus,Aries,84
James,Jennifer,34,33,Brown,Brown,Singing,Gaming,Romance,Adventure,Pisces,Leo,108
David,Sandra,21,30,Yellow,Orange,Fishing,Gaming,Horror,Drama,Capricorn,Pisces,82
James,Laura,32,26,Green,White,Cooking,Dancing,Comedy,Fantasy,Scorpio,Leo,88
Andrew,Karen,38,26,Blue,Pink,Fishing,Gaming,Drama,Adventure,Leo,Gemini,86
William,Karen,26,25,Green,White,Cooking,Dancing,Adventure,Sci-Fi,Aries,Leo,108
Thomas,Nancy,24,40,Orange,Green,Cooking,Cooking,Comedy,Romance,Cancer,Gemini,78
David,Jessica,23,23,Black,Brown,Drawing,Reading,Horror,Thriller,Libra,Cancer,110
Thomas,Laura,40,39,Brown,Red,Fishing,Gaming,Thriller,Action,Leo,Aquarius,98
David,Elizabeth,36,19,White,Pink,Drawing,Fishing,Romance,Thriller,Libra,Cancer,76
David,Karen,35,37,White,Yellow,Traveling,Traveling,Documentary,Action,Taurus,Leo,116
John,Kimberly,23,25,Brown,Purple,Hiking,Drawing,Sci-Fi,Romance,Aquarius,Sagittarius,106
Joseph,Donna,27,38,Purple,Red,Gaming,Drawing,Adventure,Sci-Fi,Capricorn,Libra,88
Michael,Mary,34,30,Pink,Purple,Sports,Gaming,Action,Action,Pisces,Virgo,102
John,Donna,22,27,Pink,Blue,Drawing,Traveling,Action,Action,Aquarius,Taurus,110
Daniel,Jessica,22,36,White,Black,Sports,Traveling,Fantasy,Adventure,Cancer,Libra,72
Mark,Jennifer,34,31,Blue,Purple,Singing,Traveling,Romance,Romance,Aquarius,Pisces,114
Robert,Jennifer,30,21,Green,Purple,Cooking,Drawing,Drama,Action,Taurus,Taurus,92
Mark,Patricia,22,28,Purple,Black,Gaming,Sports,Documentary,Adventure,Sagittarius,Gemini,88
Paul,Nancy,33,38,Red,Brown,Gaming,Fishing,Drama,Thriller,Gemini,Aries,90
Paul,Mary,23,25,Purple,White,Drawing,Sports,Action,Fantasy,Cancer,Capricorn,106
John,Susan,40,19,Red,Orange,Dancing,Hiking,Drama,Fantasy,Gemini,Libra,58
Robert,Nancy,25,18,Purple,Pink,Gaming,Sports,Comedy,Drama,Aries,Aquarius,96
Thomas,Linda,37,21,Black,Black,Cooking,Hiking,Romance,Adventure,Virgo,Taurus,78
Robert,Elizabeth,33,25,Brown,Red,Cooking,Traveling,Drama,Sci-Fi,Libra,Aries,84
Andrew,Laura,40,28,Orange,Blue,Dancing,Cooking,Documentary,Documentary,Gemini,Libra,96
Joseph,Ashley,38,26,Brown,Orange,Traveling,Cooking,Comedy,Action,Sagittarius,Libra,86
Robert,Kimberly,31,38,Orange,Black,Cooking,Hiking,Thriller,Fantasy,Sagittarius,Scorpio,86
Richard,Karen,26,34,White,Blue,Gaming,Hiking,Drama,Horror,Taurus,Aquarius,84
Paul,Laura,27,27,Black,Black,Cooking,Hiking,Sci-Fi,Sci-Fi,Libra,Pisces,120
Robert,Nancy,25,38,Red,Green,Traveling,Singing,Action,Romance,Pisces,Leo,84
Mark,Ashley,20,24,Blue,Green,Singing,Dancing,Horror,Adventure,Scorpio,Cancer,102
Richard,Susan,18,27,White,Yellow,Singing,Hiking,Action,Thriller,Aquarius,Cancer,92
Mark,Karen,37,24,White,Pink,Gaming,Fishing,Sci-Fi,Action,Gemini,Capricorn,74
Michael,Linda,26,39,White,Brown,Gaming,Hiking,Action,Documentary,Aquarius,Sagittarius,84
Richard,Nancy,30,39,Purple,Orange,Drawing,Dancing,Drama,Thriller,Libra,Capricorn,82
William,Sandra,37,23,Yellow,Blue,Hiking,Traveling,Horror,Documentary,Virgo,Aries,82
David,Jennifer,31,34,Orange,Purple,Reading,Gaming,Fantasy,Comedy,Leo,Libra,104
Joseph,Laura,27,31,Pink,Black,Traveling,Fishing,Comedy,Sci-Fi,Virgo,Aries,92
David,Jessica,20,19,Yellow,White,Drawing,Singing,Sci-Fi,Comedy,Cancer,Virgo,98
Paul,Lisa,35,37,Pink,Green,Hiking,Cooking,Drama,Sci-Fi,Libra,Scorpio,96
William,Laura,24,27,Green,Red,Hiking,Dancing,Fantasy,Documentary,Taurus,Capricorn,94
Steven,Susan,31,38,Pink,Brown,Hiking,Cooking,Comedy,Sci-Fi,Cancer,Sagittarius,96
Mark,Jessica,26,29,Purple,Red,Singing,Dancing,Action,Thriller,Cancer,Aquarius,104
Kevin,Jennifer,34,37,Blue,Purple,Cooking,Gaming,Romance,Comedy,Virgo,Capricorn,94
Thomas,Karen,23,18,Brown,Pink,Cooking,Drawing,Thriller,Drama,Cancer,Libra,100
Thomas,Laura,38,38,Black,Green,Gaming,Reading,Drama,Sci-Fi,Libra,Scorpio,100
Daniel,Nancy,34,40,Green,Pink,Drawing,Drawing,Action,Comedy,Libra,Gemini,98
Steven,Karen,32,20,Blue,Blue,Hiking,Hiking,Thriller,Thriller,Virgo,Capricorn,116
David,Laura,36,39,Orange,Purple,Reading,Gaming,Comedy,Fantasy,Sagittarius,Leo,94
Kevin,Linda,39,27,Orange,Orange,Traveling,Drawing,Horror,Drama,Virgo,Capricorn,96
Daniel,Sandra,18,26,Purple,Yellow,Cooking,Hiking,Adventure,Drama,Scorpio,Libra,84
John,Jennifer,18,24,Green,Green,Cooking,Gaming,Documentary,Action,Taurus,Taurus,108
Robert,Mary,36,28,Blue,Red,Dancing,Singing,Romance,Romance,Sagittarius,Scorpio,94
Steven,Kimberly,27,38,Yellow,Orange,Singing,Sports,Thriller,Drama,Aquarius,Taurus,88
Michael,Kimberly,32,29,Yellow,Black,Dancing,Sports,Comedy,Adventure,Leo,Gemini,104
John,Ashley,37,38,Brown,Blue,Sports,Hiking,Sci-Fi,Thriller,Aquarius,Capricorn,98
John,Nancy,40,34,Purple,Pink,Singing,Reading,Horror,Romance,Virgo,Scorpio,88
James,Lisa,29,27,Blue,White,Traveling,Cooking,Horror,Romance,Virgo,Gemini,106
Robert,Donna,31,21,Black,Yellow,Cooking,Fishing,Horror,Action,Virgo,Gemini,80
Steven,Laura,36,37,White,Purple,Gaming,Gaming,Drama,Drama,Libra,Cancer,118
David,Donna,20,32,Brown,Red,Fishing,Dancing,Thriller,Comedy,Leo,Virgo,86
Steven,Susan,35,23,White,Red,Hiking,Drawing,Romance,Comedy,Scorpio,Cancer,86
James,Ashley,22,31,Pink,Pink,Dancing,Hiking,Adventure,Fantasy,Aquarius,Pisces,102
Joseph,Ashley,32,38,Green,Yellow,Traveling,Sports,Comedy,Comedy,Aries,Leo,108
William,Kimberly,20,31,Red,Pink,Dancing,Fishing,Action,Fantasy,Gemini,Scorpio,88
Paul,Sandra,36,19,Yellow,Brown,Sports,Drawing,Horror,Documentary,Cancer,Scorpio,76
Steven,Susan,31,25,Red,Purple,Sports,Fishing,Romance,Drama,Aries,Leo,88
David,Mary,31,34,Pink,Blue,Dancing,Singing,Drama,Action,Pisces,Gemini,104
Robert,Donna,26,23,Blue,Purple,Dancing,Drawing,Horror,Comedy,Pisces,Libra,104
Richard,Jennifer,28,26,White,Pink,Fishing,Gaming,Fantasy,Adventure,Aquarius,Scorpio,106
Kevin,Elizabeth,31,26,Orange,Brown,Fishing,Singing,Drama,Romance,Aquarius,Virgo,100
John,Nancy,19,36,Red,Black,Hiking,Hiking,Adventure,Romance,Pisces,Capricorn,76
Mark,Kimberly,37,40,Black,Brown,Dancing,Sports,Comedy,Comedy,Scorpio,Cancer,114
James,Karen,40,36,Orange,Pink,Drawing,Traveling,Documentary,Thriller,Sagittarius,Taurus,102
Joseph,Karen,23,33,Pink,Orange,Cooking,Dancing,Action,Drama,Sagittarius,Capricorn,90
Joseph,Sandra,23,39,Blue,Green,Reading,Drawing,Action,Drama,Cancer,Sagittarius,68
Paul,Linda,33,30,Yellow,Black,Hiking,Cooking,Horror,Documentary,Virgo,Cancer,104
Steven,Elizabeth,25,36,Blue,Purple,Cooking,Hiking,Comedy,Sci-Fi,Gemini,Scorpio,88
Paul,Jessica,26,35,Brown,Green,Fishing,Dancing,Romance,Comedy,Scorpio,Gemini,92
Richard,Kimberly,29,33,Orange,Brown,Traveling,Reading,Documentary,Fantasy,Sagittarius,Scorpio,102
Mark,Kimberly,37,27,Red,Brown,Traveling,Singing,Drama,Drama,Libra,Taurus,90
David,Lisa,35,18,Blue,White,Gaming,Reading,Fantasy,Comedy,Taurus,Virgo,76
James,Susan,20,27,Red,Purple,Dancing,Gaming,Thriller,Thriller,Sagittarius,Aquarius,106
David,Karen,33,36,Pink,Green,Sports,Dancing,Documentary,Fantasy,Capricorn,Virgo,94
John,Mary,24,39,Black,Black,Hiking,Traveling,Adventure,Documentary,Aries,Virgo,80
Kevin,Jessica,21,35,Red,Blue,Reading,Singing,Adventure,Sci-Fi,Leo,Scorpio,72
Daniel,Kimberly,24,27,Green,Yellow,Singing,Hiking,Comedy,Horror,Virgo,Scorpio,104
Michael,Nancy,34,20,Blue,Purple,Drawing,Dancing,Romance,Thriller,Aquarius,Sagittarius,72
Thomas,Laura,26,29,Green,Black,Gaming,Dancing,Romance,Action,Leo,Sagittarius,94
Mark,Laura,34,38,Brown,Yellow,Fishing,Fishing,Romance,Drama,Taurus,Capricorn,112
Steven,Nancy,35,28,Purple,White,Dancing,Drawing,Documentary,Comedy,Sagittarius,Scorpio,96
Daniel,Karen,26,31,Purple,Black,Gaming,Drawing,Horror,Adventure,Cancer,Cancer,90
David,Donna,27,21,Black,Red,Drawing,Gaming,Drama,Thriller,Virgo,Leo,98
Thomas,Patricia,37,39,White,Orange,Reading,Hiking,Adventure,Adventure,Gemini,Virgo,106
William,Nancy,21,22,Black,Purple,Fishing,Fishing,Comedy,Documentary,Gemini,Aries,118
Michael,Mary,30,20,Brown,Orange,Dancing,Sports,Drama,Comedy,Aquarius,Virgo,90
Andrew,Sandra,23,40,Blue,Green,Sports,Gaming,Romance,Documentary,Aries,Taurus,76
Richard,Jennifer,25,29,Pink,Purple,Cooking,Singing,Comedy,Drama,Capricorn,Virgo,92
Richard,Patricia,34,20,Blue,Purple,Dancing,Dancing,Sci-Fi,Adventure,Scorpio,Cancer,92
Kevin,Linda,35,38,Blue,Blue,Sports,Drawing,Documentary,Thriller,Gemini,Aries,104
Paul,Kimberly,34,32,White,Green,Fishing,Hiking,Sci-Fi,Comedy,Leo,Taurus,106
Robert,Lisa,30,21,Brown,Pink,Gaming,Dancing,Action,Action,Virgo,Aries,102
Steven,Karen,21,34,Pink,Black,Cooking,Singing,Action,Comedy,Capricorn,Aries,84
David,Jennifer,37,34,Red,Red,Hiking,Hiking,Documentary,Fantasy,Sagittarius,Cancer,124
Mark,Mary,32,20,Black,Purple,Cooking,Cooking,Fantasy,Action,Libra,Capricorn,96
Robert,Elizabeth,28,24,Yellow,Red,Gaming,Fishing,Documentary,Thriller,Gemini,Leo,92
Richard,Linda,27,21,White,Blue,Gaming,Sports,Comedy,Drama,Aquarius,Aries,88
Joseph,Karen,21,39,Green,White,Gaming,Drawing,Thriller,Documentary,Sagittarius,Taurus,74
Daniel,Karen,27,38,White,Orange,Cooking,Reading,Adventure,Thriller,Aquarius,Scorpio,88
William,Elizabeth,25,33,White,Green,Singing,Reading,Romance,Adventure,Libra,Sagittarius,94
John,Susan,24,34,Green,Yellow,Drawing,Singing,Action,Horror,Pisces,Aries,80
Michael,Mary,25,37,Red,Purple,Singing,Hiking,Documentary,Fantasy,Gemini,Leo,86
Andrew,Jennifer,20,30,Green,Blue,Traveling,Hiking,Comedy,Sci-Fi,Libra,Cancer,80
John,Karen,30,38,Purple,Purple,Fishing,Traveling,Drama,Drama,Aquarius,Capricorn,104
John,Jessica,24,39,Yellow,Purple,Drawing,Reading,Sci-Fi,Sci-Fi,Leo,Gemini,80
James,Jennifer,21,39,Pink,Red,Gaming,Singing,Horror,Sci-Fi,Capricorn,Pisces,64
Andrew,Mary,38,32,Purple,White,Reading,Traveling,Sci-Fi,Adventure,Gemini,Virgo,88
David,Nancy,33,22,Red,Blue,Reading,Gaming,Adventure,Drama,Aries,Leo,88
John,Linda,18,18,Pink,Purple,Traveling,Singing,Action,Sci-Fi,Aquarius,Scorpio,110
Michael,Karen,39,30,Purple,Purple,Gaming,Singing,Comedy,Adventure,Sagittarius,Pisces,92
Mark,Nancy,18,27,Black,Black,Drawing,Cooking,Drama,Action,Leo,Capricorn,102
James,Ashley,18,23,Yellow,Pink,Hiking,Dancing,Comedy,Fantasy,Capricorn,Libra,90
Andrew,Jennifer,26,40,Red,Purple,Hiking,Sports,Sci-Fi,Adventure,Sagittarius,Capricorn,72
William,Laura,23,30,Red,Purple,Hiking,Drawing,Adventure,Action,Aries,Libra,96
Steven,Lisa,35,24,Yellow,Pink,Sports,Drawing,Romance,Comedy,Libra,Scorpio,88
Steven,Mary,19,32,Purple,Orange,Reading,Reading,Romance,Documentary,Cancer,Sagittarius,94
David,Elizabeth,36,29,Green,Brown,Drawing,Traveling,Fantasy,Sci-Fi,Gemini,Scorpio,96
Joseph,Sandra,36,26,White,Green,Fishing,Sports,Action,Sci-Fi,Taurus,Virgo,80
Kevin,Donna,18,40,Green,Brown,Fishing,Drawing,Documentary,Drama,Capricorn,Leo,66
Paul,Karen,32,28,Orange,Black,Drawing,Dancing,Fantasy,Action,Libra,Gemini,92
Michael,Susan,37,34,Pink,Brown,Cooking,Cooking,Documentary,Sci-Fi,Gemini,Pisces,114
William,Karen,24,32,Blue,Brown,Drawing,Hiking,Romance,Comedy,Pisces,Aquarius,84
Kevin,Laura,36,26,White,White,Hiking,Hiking,Romance,Adventure,Aquarius,Leo,100
James,Nancy,37,39,Blue,Red,Reading,Cooking,Comedy,Action,Pisces,Gemini,96
James,Susan,29,35,Black,Black,Reading,Traveling,Documentary,Action,Libra,Virgo,98
Steven,Mary,30,39,Red,Yellow,Drawing,Hiking,Comedy,Fantasy,Capricorn,Capricorn,92
Kevin,Sandra,25,28,Black,Brown,Dancing,Singing,Thriller,Action,Aquarius,Capricorn,104
James,Karen,36,19,Brown,Purple,Singing,Dancing,Action,Comedy,Gemini,Taurus,66
John,Lisa,36,27,Green,Pink,Fishing,Drawing,Sci-Fi,Romance,Taurus,Virgo,92
William,Laura,20,32,Green,Yellow,Drawing,Traveling,Adventure,Drama,Virgo,Taurus,86
Richard,Patricia,30,20,Green,Green,Reading,Reading,Horror,Fantasy,Virgo,Cancer,100
Joseph,Karen,18,25,Pink,Brown,Hiking,Gaming,Fantasy,Documentary,Capricorn,Taurus,96
Thomas,Kimberly,18,31,Pink,Yellow,Reading,Gaming,Action,Fantasy,Gemini,Scorpio,84
Michael,Ashley,27,35,Brown,Orange,Singing,Drawing,Sci-Fi,Documentary,Libra,Sagittarius,84
Mark,Karen,29,20,Brown,Purple,Fishing,Sports,Horror,Romance,Gemini,Capricorn,82
Andrew,Ashley,35,31,Blue,Yellow,Cooking,Sports,Thriller,Sci-Fi,Aries,Leo,92
Thomas,Sandra,25,31,Black,Orange,Singing,Cooking,Fantasy,Fantasy,Pisces,Libra,108
David,Kimberly,37,19,Blue,Brown,Hiking,Cooking,Romance,Sci-Fi,Pisces,Pisces,64
Joseph,Susan,35,27,Brown,Orange,Fishing,Fishing,Action,Romance,Taurus,Sagittarius,104
Joseph,Mary,37,31,Yellow,Orange,Sports,Dancing,Adventure,Fantasy,Aries,Gemini,98
Thomas,Laura,25,33,Yellow,Purple,Cooking,Traveling,Sci-Fi,Drama,Pisces,Aquarius,84
Michael,Laura,20,31,Pink,Orange,Gaming,Fishing,Thriller,Thriller,Leo,Sagittarius,88
Daniel,Linda,39,27,Green,Orange,Hiking,Sports,Documentary,Sci-Fi,Gemini,Gemini,76
Mark,Susan,36,38,Red,White,Cooking,Drawing,Documentary,Documentary,Cancer,Taurus,106
Thomas,Ashley,37,22,Black,Pink,Traveling,Traveling,Documentary,Sci-Fi,Gemini,Aquarius,80
David,Sandra,30,32,Orange,Black,Gaming,Gaming,Adventure,Comedy,Taurus,Aquarius,106
James,Jennifer,30,37,Yellow,Green,Traveling,Singing,Adventure,Fantasy,Cancer,Taurus,86
Steven,Patricia,31,29,Yellow,Pink,Hiking,Gaming,Romance,Romance,Capricorn,Pisces,106
Thomas,Nancy,39,21,Blue,Orange,Drawing,Sports,Comedy,Romance,Taurus,Taurus,64
Joseph,Sandra,25,23,Blue,White,Dancing,Hiking,Documentary,Documentary,Virgo,Aries,106
Thomas,Patricia,40,32,Purple,Red,Traveling,Gaming,Documentary,Drama,Gemini,Scorpio,94
Steven,Linda,27,30,Pink,Red,Drawing,Cooking,Documentary,Sci-Fi,Libra,Pisces,94
James,Susan,33,19,Purple,Yellow,Cooking,Gaming,Fantasy,Thriller,Gemini,Gemini,72
Andrew,Kimberly,19,30,Orange,Blue,Drawing,Traveling,Thriller,Comedy,Aries,Capricorn,88
Richard,Jessica,30,27,Green,White,Singing,Fishing,Documentary,Thriller,Aquarius,Scorpio,104
Andrew,Patricia,34,20,Purple,White,Sports,Dancing,Documentary,Romance,Capricorn,Scorpio,72
Paul,Karen,31,22,Yellow,Yellow,Singing,Hiking,Action,Drama,Leo,Cancer,92
Mark,Jennifer,18,38,Green,Brown,Dancing,Cooking,Action,Comedy,Sagittarius,Capricorn,60
Daniel,Sandra,35,30,Brown,Black,Singing,Singing,Horror,Sci-Fi,Cancer,Gemini,110
David,Jennifer,26,36,Black,Orange,Traveling,Fishing,Action,Horror,Gemini,Capricorn,90
Joseph,Laura,19,22,Green,Purple,Hiking,Traveling,Thriller,Romance,Virgo,Aries,94
Richard,Linda,19,30,White,Red,Traveling,Hiking,Comedy,Drama,Capricorn,Sagittarius,78
David,Lisa,30,35,Pink,Orange,Singing,Hiking,Thriller,Horror,Pisces,Taurus,100
Richard,Sandra,36,32,White,Black,Cooking,Drawing,Thriller,Romance,Sagittarius,Cancer,92
Richard,Sandra,29,24,Pink,Orange,Hiking,Fishing,Adventure,Drama,Capricorn,Gemini,90
Michael,Laura,31,32,Green,Yellow,Sports,Cooking,Drama,Sci-Fi,Virgo,Libra,98
Andrew,Donna,18,36,Yellow,Black,Traveling,Fishing,Adventure,Action,Aquarius,Libra,64
Thomas,Kimberly,28,33,Blue,Red,Drawing,Gaming,Horror,Drama,Cancer,Scorpio,100
Andrew,Jennifer,20,19,Yellow,Brown,Sports,Reading,Sci-Fi,Fantasy,Libra,Gemini,108
Michael,Patricia,38,40,Brown,Orange,Reading,Cooking,Thriller,Documentary,Capricorn,Sagittarius,96
William,Linda,32,20,Brown,Brown,Traveling,Singing,Drama,Action,Sagittarius,Virgo,86
Michael,Nancy,25,36,Yellow,Orange,Gaming,Drawing,Adventure,Horror,Pisces,Aquarius,78
Joseph,Jennifer,36,30,Brown,Blue,Drawing,Sports,Fantasy,Documentary,Pisces,Taurus,88
Mark,Ashley,36,31,Pink,Pink,Drawing,Sports,Action,Documentary,Sagittarius,Leo,110
Paul,Linda,18,25,Purple,Purple,Traveling,Traveling,Thriller,Sci-Fi,Libra,Scorpio,106
Joseph,Patricia,26,26,Black,Green,Gaming,Dancing,Adventure,Drama,Libra,Scorpio,100
Michael,Lisa,20,39,Red,White,Cooking,Traveling,Sci-Fi,Drama,Virgo,Gemini,72
Joseph,Linda,38,40,Brown,Orange,Cooking,Reading,Drama,Drama,Gemini,Taurus,116
Mark,Karen,36,37,Red,Red,Dancing,Fishing,Romance,Romance,Taurus,Aries,128
Robert,Sandra,36,24,Red,Green,Fishing,Fishing,Action,Thriller,Capricorn,Aquarius,86
Michael,Elizabeth,23,31,White,Black,Sports,Drawing,Romance,Documentary,Taurus,Scorpio,84
Richard,Ashley,31,21,Green,Yellow,Cooking,Gaming,Sci-Fi,Comedy,Virgo,Aquarius,90
Richard,Karen,23,35,Purple,Yellow,Cooking,Drawing,Fantasy,Adventure,Libra,Taurus,76
Andrew,Patricia,18,39,Brown,Purple,Sports,Dancing,Drama,Fantasy,Virgo,Aries,68
Andrew,Nancy,33,30,Blue,White,Sports,Cooking,Romance,Adventure,Gemini,Sagittarius,104
Kevin,Kimberly,25,30,Pink,Pink,Drawing,Singing,Comedy,Sci-Fi,Libra,Cancer,100
Richard,Susan,21,26,Pink,Blue,Gaming,Traveling,Thriller,Documentary,Aries,Virgo,90
Andrew,Patricia,19,21,Green,Purple,Fishing,Cooking,Sci-Fi,Drama,Aquarius,Taurus,106
Joseph,Donna,24,27,Purple,Blue,Gaming,Dancing,Comedy,Comedy,Virgo,Taurus,114
Mark,Laura,25,28,Black,Black,Fishing,Dancing,Drama,Adventure,Capricorn,Pisces,114
William,Patricia,31,36,Orange,White,Traveling,Traveling,Adventure,Romance,Aquarius,Virgo,100
Andrew,Nancy,24,20,White,Pink,Singing,Gaming,Sci-Fi,Drama,Aquarius,Aquarius,92
Steven,Kimberly,20,19,Green,Green,Hiking,Drawing,Fantasy,Action,Capricorn,Scorpio,118
John,Linda,35,23,Blue,Purple,Hiking,Reading,Adventure,Action,Virgo,Sagittarius,86
Andrew,Nancy,27,39,Yellow,Pink,Singing,Cooking,Action,Romance,Aries,Virgo,86
Daniel,Jennifer,23,20,Yellow,Purple,Cooking,Singing,Adventure,Adventure,Scorpio,Cancer,114
Daniel,Nancy,40,18,Pink,Blue,Singing,Drawing,Documentary,Fantasy,Cancer,Gemini,56
William,Donna,23,36,Blue,Brown,Fishing,Dancing,Action,Romance,Sagittarius,Libra,84
Steven,Ashley,36,37,Pink,Green,Gaming,Singing,Horror,Drama,Aquarius,Libra,108
James,Sandra,24,28,White,Yellow,Cooking,Hiking,Horror,Sci-Fi,Cancer,Capricorn,102
Kevin,Donna,37,35,Orange,Purple,Dancing,Sports,Sci-Fi,Thriller,Virgo,Taurus,106
James,Patricia,34,39,Pink,Purple,Cooking,Cooking,Sci-Fi,Comedy,Libra,Capricorn,100
John,Laura,35,24,Orange,Green,Dancing,Fishing,Documentary,Fantasy,Gemini,Capricorn,78
William,Mary,20,39,Black,Red,Sports,Fishing,Horror,Romance,Pisces,Capricorn,72
David,Ashley,29,18,Orange,Black,Reading,Traveling,Documentary,Action,Aries,Capricorn,78
Daniel,Susan,26,19,Brown,White,Traveling,Singing,Romance,Documentary,Aries,Capricorn,86
William,Patricia,40,24,Red,White,Hiking,Fishing,Sci-Fi,Drama,Libra,Leo,68
Mark,Nancy,27,24,Pink,Black,Dancing,Reading,Action,Action,Capricorn,Aquarius,114
Robert,Karen,29,30,Orange,Purple,Dancing,Reading,Drama,Drama,Capricorn,Virgo,118
Robert,Susan,39,36,Red,Red,Dancing,Traveling,Fantasy,Fantasy,Aries,Sagittarius,124
Joseph,Nancy,18,34,White,White,Fishing,Hiking,Horror,Documentary,Taurus,Virgo,78
Michael,Elizabeth,40,26,Green,Pink,Singing,Singing,Comedy,Documentary,Gemini,Virgo,82
Robert,Laura,35,33,Pink,Green,Traveling,Fishing,Adventure,Thriller,Taurus,Sagittarius,106
Daniel,Susan,25,30,Orange,Pink,Singing,Hiking,Sci-Fi,Adventure,Cancer,Gemini,90
Robert,Nancy,37,31,White,Orange,Fishing,Sports,Adventure,Comedy,Aries,Cancer,98
Thomas,Nancy,22,21,Orange,White,Sports,Dancing,Fantasy,Romance,Sagittarius,Gemini,98
William,Kimberly,37,35,Purple,Pink,Dancing,Reading,Romance,Thriller,Gemini,Cancer,96
William,Jennifer,31,28,Orange,Green,Fishing,Gaming,Thriller,Fantasy,Cancer,Aries,104
Robert,Laura,39,31,Pink,White,Singing,Singing,Horror,Thriller,Libra,Taurus,104
Michael,Ashley,23,36,Red,Yellow,Dancing,Sports,Adventure,Sci-Fi,Virgo,Virgo,84
Kevin,Susan,36,27,Purple,Yellow,Dancing,Reading,Fantasy,Documentary,Scorpio,Cancer,82
Paul,Lisa,40,30,Black,Purple,Singing,Fishing,Adventure,Action,Gemini,Leo,80
Daniel,Patricia,24,24,Blue,Green,Singing,Sports,Sci-Fi,Horror,Libra,Leo,110
Paul,Sandra,23,18,Red,Green,Cooking,Dancing,Comedy,Drama,Libra,Pisces,90
James,Donna,22,28,Orange,Purple,Traveling,Singing,Action,Comedy,Scorpio,Gemini,98
William,Sandra,18,26,Black,Purple,Cooking,Dancing,Sci-Fi,Fantasy,Taurus,Libra,94
Kevin,Kimberly,22,39,Blue,Pink,Drawing,Sports,Sci-Fi,Fantasy,Cancer,Gemini,66
Joseph,Elizabeth,31,37,Pink,Yellow,Traveling,Dancing,Sci-Fi,Sci-Fi,Pisces,Leo,98
Steven,Kimberly,32,32,Purple,Pink,Fishing,Hiking,Documentary,Thriller,Aquarius,Aries,110
Richard,Mary,25,38,Black,Yellow,Hiking,Cooking,Thriller,Sci-Fi,Cancer,Virgo,84
Mark,Jennifer,38,29,Red,Orange,Traveling,Gaming,Adventure,Adventure,Cancer,Sagittarius,102
John,Jennifer,19,19,Orange,White,Dancing,Fishing,Romance,Action,Sagittarius,Sagittarius,100
Robert,Linda,21,24,Brown,White,Cooking,Cooking,Fantasy,Fantasy,Libra,Sagittarius,124
Robert,Jessica,36,35,Brown,White,Fishing,Drawing,Thriller,Horror,Gemini,Leo,98
Joseph,Jessica,40,38,Black,Blue,Fishing,Hiking,Romance,Documentary,Sagittarius,Taurus,106
Thomas,Lisa,24,27,Green,Orange,Fishing,Traveling,Horror,Horror,Scorpio,Libra,104
Kevin,Karen,30,37,Black,White,Drawing,Sports,Action,Horror,Virgo,Virgo,86
Daniel,Sandra,31,38,White,Green,Drawing,Sports,Romance,Documentary,Scorpio,Capricorn,96
John,Linda,29,38,Black,Pink,Reading,Dancing,Horror,Thriller,Aquarius,Gemini,82
William,Susan,24,36,Pink,Orange,Reading,Gaming,Comedy,Fantasy,Gemini,Scorpio,86
Andrew,Linda,29,20,Pink,Red,Fishing,Drawing,Action,Romance,Libra,Libra,92
James,Donna,19,32,Blue,Yellow,Singing,Singing,Documentary,Documentary,Pisces,Libra,94
James,Patricia,27,37,Red,Orange,Singing,Dancing,Fantasy,Romance,Capricorn,Aries,80
James,Patricia,20,26,Orange,Green,Gaming,Hiking,Romance,Romance,Aquarius,Leo,98
Mark,Donna,24,22,Brown,Brown,Hiking,Hiking,Fantasy,Fantasy,Libra,Libra,126
Daniel,Patricia,21,39,Black,Brown,Hiking,Traveling,Romance,Romance,Virgo,Virgo,74
Paul,Linda,22,30,Black,Pink,Traveling,Dancing,Comedy,Comedy,Gemini,Leo,104
Michael,Kimberly,22,20,Yellow,Green,Traveling,Dancing,Thriller,Sci-Fi,Aries,Virgo,106
Paul,Susan,38,29,Yellow,Orange,Dancing,Hiking,Sci-Fi,Comedy,Aries,Scorpio,92
Kevin,Mary,26,30,Purple,Red,Singing,Fishing,Drama,Sci-Fi,Taurus,Gemini,92
Andrew,Jennifer,35,20,Blue,Brown,Sports,Sports,Fantasy,Sci-Fi,Sagittarius,Pisces,80
Michael,Ashley,37,35,Red,Black,Dancing,Gaming,Action,Fantasy,Aquarius,Sagittarius,106
Paul,Lisa,29,32,Green,Orange,Gaming,Hiking,Thriller,Documentary,Taurus,Aries,94
David,Jennifer,34,19,Blue,Purple,Cooking,Dancing,Comedy,Thriller,Libra,Scorpio,70
John,Elizabeth,35,20,Brown,Blue,Singing,Drawing,Drama,Adventure,Virgo,Capricorn,70
William,Sandra,31,28,Black,Brown,Drawing,Drawing,Adventure,Thriller,Libra,Scorpio,104
Mark,Sandra,37,31,Black,Brown,Fishing,Traveling,Horror,Action,Leo,Aquarius,88
Richard,Jennifer,40,37,White,Purple,Gaming,Traveling,Action,Drama,Cancer,Aquarius,104
